"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10"
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-19","16.55",,"1.15",,"0.0","0.0",,"73","49",,"  130","  100","29.1","36.0","    1","    1","    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-20","16.11",,"0.00",,"0.0","0.0",,"55","43",,"   10","  360","23.9","30.0","    1",,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-21","10.51",,"0.20",,"0.0","0.0",,"55","44",,"  130","  130","18.1","23.0","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-22","13.20",,"0.44",,"0.0","0.0",,"67","49",,"   90","   90","23.0","27.1","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-23","14.76",,"2.45",,"0.0","0.0",,"66","50",,"  110","  290","25.1","30.0","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-24","14.54",,"0.00",,"0.0","0.0",,"77","54",,"  140","  130","28.0","32.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-25","12.75",,"0.00",,"0.0","0.0",,"71","50",,"  190","  190","28.0","34.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-26","7.38",,"0.00",,"0.0","0.0",,"79","50",,"  130","  120","16.1","19.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-27","14.54",,"0.00",,"0.0","0.0",,"85","57",,"  150","  160","32.0","44.1",,,"    1",,,,,"    1",,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-28","14.54",,"0.00",,"0.0","0.0",,"70","59",,"  150","  160","28.0","35.1",,,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-29","10.51",,"0.03",,"0.0","0.0",,"80","55",,"  260","  250","25.1","31.1","    1",,"    1",,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-30","11.86",,"0.00",,"0.0","0.0",,"69","54",,"  360","  350","30.0","38.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-05-31","11.41",,"0.00",,"0.0","0.0",,"76","51",,"  160","  160","21.0","23.9",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-06-01","14.09",,"0.03",,"0.0","0.0",,"85","62",,"  160","  180","23.0","29.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-06-02","14.32",,"0.00",,"0.0","0.0",,"87","58",,"  180","  170","23.9","29.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-06-03","15.66",,"0.00",,"0.0","0.0",,"89","63",,"  170","  150","23.9","30.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-06-04","18.57",,"0.00",,"0.0","0.0",,"91","65",,"  160","  160","32.0","38.0",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-06-05","15.43",,"0.00",,"0.0","0.0",,"86","65",,"  160","  130","25.1","33.1",,,,,,,,,,
"USW00023047","AMARILLO AIRPORT, TX US","2015-06-06","13.42",,"0.00",,"0.0","0.0",,"84","63",,"  170","  150","23.9","31.1",,,,,,,,,,
